,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,MACD (12,26 / 1D),Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D),var columnsSettings_stock_screener = new ColumnsSettings(		'ltr',																	   // strHtmlDir		'resultsContainer',															 	   // containerId		'resultsContainer',															   	   // tab		'stock_screener',																		   // id		'Currently selected: X (max 8)', // message		'8',															   // intMaxCheckboxes		'1'                                                          // intMinOptCheckboxes	);Adjust table  Name  Symbol  Exchange  Sector  Industry  Last  Chg. %  Market Cap  Vol.  P/E Ratio  MACD (12,26 / 1D)   Revenue  Average Vol. (3m)  EPS  Beta  Dividend  Yield  15 Minutes   Hourly  Daily  Weekly  Monthly  Daily  1 Week  1 Month  YTD  1 Year  3 Years  1-Year Change  Dividend Yield (%)   P/E Ratio (TTM)  Price to Sales (TTM)  Price to Cash Flow (MRQ)  Price to Free Cash Flow (TTM)  Price to Book (MRQ)  Price to Tangible Book (MRQ)   EPS(MRQ) vs Qtr. 1 Yr. Ago  EPS(TTM) vs TTM 1 Yr. Ago  5 Year EPS Growth  Sales (MRQ) vs Qtr. 1 Yr. Ago  Sales (TTM) vs TTM 1 Yr. Ago (TTM)  5 Year Sales Growth  5 Year Capital Spending Growth  Asset Turnover (TTM)  Inventory Turnover (TTM)  Revenue/Employee (TTM)  Net Income/Employee (TTM)  Receivable Turnover (TTM)  52 wk Range - High  52 wk Range - Low  % Change from 52 wk High  % Change from 52 wk Low  Previous Month % Change  Gross margin (TTM)  Gross Margin (5YA)  Operating margin (TTM)  Operating margin (5YA)  Pretax margin (TTM)  Pretax margin (5YA)  Net Profit margin (TTM)  Net Profit margin (5YA)  Quick Ratio (MRQ)  Current Ratio (MRQ)  LT Debt to Equity (MRQ)  Total Debt to Equity  Dividend Yield 5 Year Avg. (5YA)  Dividend Growth Rate (ANN)  Payout Ratio (TTM)  ADX (14 / 1D)  ATR (14 / 1D)  Bull/Bear Power (13 / 1D)  CCI (14 / 1D)  Highs/Lows (14 / 1D)  ROC (1D)  RSI (14 / 1D)  STOCH (14 / 1D)  STOCHRSI (14 / 1D)  Ultimate Oscillator (14 /1D)  Williams %R (1D) Currently selected: 6 (max 8 ) Apply 	$('#colSelectPopup_stock_screener').click(function(e) {		e.stopPropagation();	});
"","Becamex Asphalt and Concrete JSC","ACC","Ho Chi Minh","Capital Goods","Construction - Raw Materials","15200","-5.1%","456.00B","111.60K","4.34","170.00","448.35B","45.81K","3.50K","0.29","475.00","-","Neutral","Strong Sell","Sell","Neutral","Strong Buy","-5.10","-1.62","3.40","2.70","33.14","-15.08","37.93","3.29%","4.34","0.94","5.46","19.54","0.96","1.08","116.88","49.61","20.15","2.75","2.37","6.73","-0.03","0.69","1.63","962.74","82.27","2.91","19000","10071.7","-20.00","50.92","6.55%","27.42","22.84","15.97","12.71","16.25","13.17","13.41","10.71","1.16","2.13","0.00","51.76","6.58","-26.16","25.44","33.84","525.00","-877.16","-108.29","-125.00","-1.94","46.92","82.38","0.00","52.14","-25.71",""
"","An Giang Centrifugal Concrete JSC","ACE","Hanoi","Capital Goods","Construction - Raw Materials","36900","0%","112.57B","6.00K","-","1.29K","-","2.58K","-","0.45","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","0.00","1.10","10.48","23.00","29.47","112.29","29.47","11.27%","-","-","2.46","7.99","1.62","1.64","137.29","-","-1.91","52.34","-","3.07","4.13","-","-","-","-","-","36500","24000","-","53.75","14.06%","-","18.56","-","7.32","-","7.62","-","6.13","1.28","1.73","0.00","25.61","-","8.74","-","40.43","1.54K","136.26","60.22","721.43","11.48","59.78","88.23","4.67","69.03","-13.22",""
"","Cuulong Fish JSC","ACL","Ho Chi Minh","Consumer/Non-Cyclical","Food Processing","12000","-0.83%","601.91B","37.60K","16.87","-53.80","1.27T","58.84K","758.82","0.34","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","-0.83","-7.69","-5.14","-18.09","16.56","20.00","20.45","5.24%","16.87","0.62","6.98","11.22","0.91","0.98","943.03","-56.85","-4.83","37.50","-13.84","-3.54","-14.34","0.69","1.07","695.86","25.48","5.54","18450","10272.7","-34.96","16.81","11.11%","14.77","19.34","4.13","7.68","4.05","7.58","3.66","6.81","0.39","1.41","0.00","117.54","3.37","49.38","0.00","44.68","310.71","-903.40","-207.47","-778.57","-11.44","36.38","74.45","0.00","25.11","-46.65",""
"","A Cuong Mineral Group JSC","ACM","Hanoi","Basic Materials","Metal Mining","2700","-6.9%","137.70B","2.63M","-","-116.63","-","2.70M","-1.16K","0.68","-","-","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","-6.90","-15.62","-18.18","125.00","285.71","237.50","314.29","-","-","1.56","41.46","183.14","0.40","0.40","-155.13","-6.11K","-70.12","100.00","-100.00","-29.52","-","0.00","0.00","-","-","0.00","5200","500","-48.08","440.00","0%","0.00","19.22","-432.48","-84.57","-448.08","-87.37","-448.18","-88.33","0.45","0.90","9.76","21.35","-","-","-","41.37","200.00","-702.54","-233.85","-471.43","-20.59","29.93","40.28","0.00","36.55","-100.00",""
"","Architects Construction","ACS","Hanoi","Industrials","Construction & Engineering","11700","-2.5%","-","1.50K","-","-97.98","-","1.92K","-","-","-","-","-","-","Strong Sell","Strong Sell","Neutral","-2.50","-10.69","-10.00","-2.50","6.36","-13.33","6.36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15800","7700","-25.95","51.95","0.77%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","52.70","1.17K","-904.43","-48.79","-835.71","-13.33","47.99","43.10","34.99","44.11","-69.08",""
"","Airports Corporation of Viet Nam","ACV","Hanoi","Transportation","Misc. Transportation","77000","-1.66%","167.63T","110.20K","418.17","1.76K","6.04T","231.09K","179.35","0.96","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","-1.66","2.26","10.63","-4.94","30.51","-8.97","29.63","1.2%","418.17","27.05","666.73","631.18","4.27","4.27","-55.85","-94.52","-10.46","-47.62","-65.55","-10.03","7.44","0.10","14.52","617.64","97.52","2.15","84000","48900","-8.33","57.46","12.72%","1.99","-","18.74","-","18.90","-","15.79","-","11.57","11.67","38.55","39.38","-","-","0.00","37.29","1.81K","4.89K","105.32","1.79K","6.80","62.98","97.31","49.76","61.55","-2.47",""
"","ADC","ADC","Hanoi","Services","Business Services","28000","0%","85.68B","0.00","8.54","443.30","450.12B","760.00","3.28K","0.60","1.43K","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.00","0.00","15.23","68.67","115.38","55.56","105.88","5.36%","8.54","0.22","9.32","7.16","1.36","1.38","7.64","16.67","5.89","16.93","6.21","13.59","-15.12","3.42","10.78","-","-","50.34","29500","11600","-5.08","141.38","-5.08%","35.16","33.80","4.04","3.67","4.20","3.96","3.20","3.03","1.08","1.49","0.00","0.00","7.29","2.33","43.46","54.29","2.36K","3.58K","74.82","1.45K","6.06","54.97","84.02","74.94","60.32","-7.69",""
"","Clever Group","ADG","Ho Chi Minh","Services","Advertising","47000","-1.89%","846.02B","83.80K","59.72","-1.23K","661.77B","84.86K","1.03K","-","-","-","Buy","Strong Sell","Strong Sell","Strong Sell","Buy","-1.89","-2.49","-4.67","-30.58","125.12","-","130.35","-","59.72","2.88","-","88.15","19.94","9.30","49.50","27.42","-","15.26","8.21","-","-","-","-","-","-","-","69200","20741.9","-32.08","126.59","-3.6%","20.03","-","14.39","-","14.14","-","11.22","-","1.93","1.93","0.00","24.13","-","-","0.00","48.00","710.71","-1.46K","-228.96","-546.43","-1.67","29.80","97.20","24.39","48.06","-5.13",""
"","A Dong Paint","ADP","Hanoi","Basic Materials","Chemical Manufacturing","28500","2.52%","656.64B","1.20K","7.13","386.72","562.37B","7.08K","4.00K","0.41","1.90K","-","-","-","Neutral","Strong Buy","Buy","2.52","0.35","-12.74","79.98","155.87","35.71","155.87","7.02%","7.13","1.17","87.16","27.02","2.43","2.61","118.73","113.47","4.47","-7.22","2.50","1.64","-35.62","1.77","5.24","-","-","7.73","37363","9438","-23.72","201.97","-42.39%","26.11","20.42","18.64","12.59","18.62","12.59","14.88","10.06","2.75","4.07","0.00","0.28","11.20","12.62","52.31","24.60","935.71","-718.03","-12.53","0.00","-10.66","51.15","94.15","25.83","53.64","-15.91",""
"","Damsan","ADS","Ho Chi Minh","Consumer Cyclical","Apparel/Accessories","25500","0.59%","715.77B","408.70K","9.84","1.27K","1.36T","434.67K","1.40K","0.08","-","-","Strong Buy","Strong Buy","Buy","Strong Buy","Strong Buy","0.59","-1.54","8.05","150.00","189.17","62.94","185.46","20%","9.84","0.29","-","7.46","0.96","0.96","767.29","242.24","-3.18","6.55","-8.53","0.58","-24.84","0.75","2.74","2.84","6.72","5.48","26400","7754.5","-3.41","228.84","10.21%","6.24","6.17","2.66","2.46","3.76","2.82","3.35","2.50","0.80","1.20","30.48","172.46","-","-","0.00","22.17","792.86","-776.94","-55.18","0.00","2.00","64.31","95.68","14.86","62.95","-5.49",""
