RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
SBA.HM,SBA,HOSE,Song Ba JSC,Utilities,Independent Power and Renewable Electricity Producers,16000
SBD.HNO,SBD,UPCOM,SaoBacDau Technologies Corp,Information Technology,IT Services,10000
SBL.HNO,SBL,UPCOM,Saigon-Baclieu Beer JSC,Consumer/Non-Cyclical,Beverages (Alcoholic),10600
SBM.HNO,SBM,UPCOM,Bac Minh Development Investment JSC,Utilities,Electric Utilities,28500
SBS.HNO,SBS,UPCOM,Sacombank Securities JSC,Financial,Capital Markets,14100
SBT.HM,SBT,HOSE,Thanh Thanh Cong - Bien Hoa JSC,Consumer Staples,Food Products,20900
SBV.HM,SBV,HOSE,Siam Brothers Vietnam JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",14500
SC5.HM,SC5,HOSE,Construction JSC No5,Industrials,Construction & Engineering,21850
SCC.HNO,SCC,UPCOM,SHB Trading Investment JSC,Materials,Construction Materials,4100
SCD.HM,SCD,HOSE,Chuong Duong Beverages JSC,Consumer Staples,Beverages,20200
SCI.HN,SCI,HNX,SCI E&C JSC,Industrials,Construction & Engineering,39900
SCL.HNO,SCL,UPCOM,Song Da Cao Cuong JSC,Materials,Construction Materials,2300
SCO.HNO,SCO,UPCOM,Seaproducts Mechanical Shareholding JSC,Industrials,Machinery,7200
SCR.HM,SCR,HOSE,Sai Gon Thuong Tin Real Estate JSC,Real Estate,Real Estate Management & Development,11150
SCS.HM,SCS,HOSE,Sai Gon Cargo Service Corp,Industrials,Air Freight & Logistics,142000
SD2.HN,SD2,HNX,Song Da 2 JSC,Industrials,Construction & Engineering,6100
SD3.HNO,SD3,UPCOM,Song Da 3 JSC,Industrials,Construction & Engineering,4300
SD4.HN,SD4,HNX,Song Da 4 JSC,Industrials,Construction & Engineering,5000
SD5.HN,SD5,HNX,Song Da No5 JSC,Industrials,Construction & Engineering,9700
SD6.HN,SD6,HNX,Song Da 6 JSC,Industrials,Construction & Engineering,4500
SD7.HNO,SD7,UPCOM,Song Da 7 JSC,Industrials,Construction & Engineering,4200
SD8.HNO,SD8,UPCOM,Song Da 8 JSC,Industrials,Construction & Engineering,1900
SD9.HN,SD9,HNX,Song Da No 9 JSC,Industrials,Construction & Engineering,8000
SDA.HN,SDA,HNX,Simco Songda JSC,Industrials,Commercial Services & Supplies,4800
SDB.HNO,SDB,UPCOM,Song Da 207 JSC,Industrials,Construction & Engineering,1500
SDC.HN,SDC,HNX,Song Da Consulting JSC,Industrials,Construction & Engineering,8100
SDG.HN,SDG,HNX,Sadico CanTho Joint Stock Corp,Materials,Containers & Packaging,31500
SDH.HNO,SDH,UPCOM,Song Da Infrastructure Construction JSC,Industrials,Construction & Engineering,800
SDJ.HNO,SDJ,UPCOM,Song Da No25 JSC,Industrials,Construction & Engineering,3300
SDK.HNO,SDK,UPCOM,Mechanical Engineering Metallurgy JSC,Materials,Metals & Mining,28500
SDN.HN,SDN,HNX,DongNai Paint Corp,Materials,Chemicals,30500
SDP.HNO,SDP,UPCOM,SDP JSC,Materials,Construction Materials,2400
SDT.HN,SDT,HNX,Song Da No 10 JSC,Industrials,Construction & Engineering,6100
SDU.HN,SDU,HNX,Song Da Urban Investment Construction and Development JSC,Industrials,Construction & Engineering,9000
SDV.HNO,SDV,UPCOM,Sonadezi Services JSC,Industrials,Commercial Services & Supplies,28400
SEA.HNO,SEA,UPCOM,Viet Nam Seaproducts Joint Stock Corp,Consumer Staples,Food Products,26000
SEB.HN,SEB,HNX,Mien Trung Power Investment and Development JSC,Utilities,Independent Power and Renewable Electricity Producers,40000
SED.HN,SED,HNX,Phuong Nam Education Investment and Development JSC,Communication Services,Media,17300
SFC.HM,SFC,HOSE,Saigon Fuel JSC,Consumer Discretionary,Specialty Retail,27300
SFG.HM,SFG,HOSE,Southern Fertilizer JSC,Materials,Chemicals,10200
SFI.HM,SFI,HOSE,Sea & Air Freight International,Industrials,Air Freight & Logistics,37850
SFN.HN,SFN,HNX,Saigon Fishing Net JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",22900
SGC.HN,SGC,HNX,Sa Giang Import Export Corp,Consumer Staples,Food Products,57200
SGD.HN,SGD,HNX,Educational Book JSC in Ho Chi Minh City,Services,Printing & Publishing,9600
SGH.HN,SGH,HNX,Saigon Hotel Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",40900
SGN.HM,SGN,HOSE,Sai Gon Ground Services JSC,Industrials,Transportation Infrastructure,69400
SGO.HNO,SGO,UPCOM,Sai Gon Vegetable Oil JSC,Consumer Staples,Food Products,300
SGP.HNO,SGP,UPCOM,Saigon Port JSC,Industrials,Transportation Infrastructure,23600
SGR.HM,SGR,HOSE,Saigon Real Estate JSC,Real Estate,Real Estate Management & Development,24900
SGS.HNO,SGS,UPCOM,Saigon Shipping JSC,Industrials,Marine,16800
SGT.HM,SGT,HOSE,Saigon Telecommunication & Technologies Corp,Communication Services,Diversified Telecommunication Services,19000
SHA.HM,SHA,HOSE,Son Ha Sai Gon JSC,Industrials,Machinery,6470
SHB.HN,SHB,HNX,Sai Gon Ha Noi Commercial Joint Stock Bank,Financial,Regional Banks,27100
SHC.HNO,SHC,UPCOM,Saigon Maritime JSC,Industrials,Marine,11000
SHE.HN,SHE,HNX,Son Ha Development of Renewable Energy JSC,Materials,Metals & Mining,17200
SHI.HM,SHI,HOSE,SonHa International Corp,Industrials,Building Products,25600
SHN.HN,SHN,HNX,Ha Noi Investment General Corp,Financial,Diversified Financial Services,13200
SHP.HM,SHP,HOSE,Southern Hydropower JSC,Utilities,Independent Power and Renewable Electricity Producers,21400
SHS.HN,SHS,HNX,Saigon Hanoi Securities JSC,Financial,Investment Services,43400
SHX.HNO,SHX,UPCOM,Saigon Train JSC,Industrials,Air Freight & Logistics,12000
SIC.HN,SIC,HNX,ANI Joint Stocks Co,Industrials,Construction & Engineering,19500
SID.HNO,SID,UPCOM,Saigon Co.op Investment Development JSC,Real Estate,Real Estate Management & Development,13100
SII.HM,SII,HOSE,Sai Gon Water Infrastructure Corp,Utilities,Water Utilities,17300
SIV.HNO,SIV,UPCOM,Sivico JSC,Materials,Chemicals,48500
SJ1.HN,SJ1,HNX,Hung Hau Agricultural Corp,Consumer Staples,Food Products,17900
SJC.HN,SJC,HNX,Song Da 1.01 JSC,Real Estate,Real Estate Management & Development,1400
SJD.HM,SJD,HOSE,Can Don Hydro Power JSC,Utilities,Independent Power and Renewable Electricity Producers,17500
SJE.HN,SJE,HNX,Song Da No 11 JSC,Industrials,Construction & Engineering,18500
SJF.HM,SJF,HOSE,Sunstar Investment JSC,Consumer Staples,Food Products,3940
SJG.HNO,SJG,UPCOM,Song Da Corporation JSC,Industrials,Construction & Engineering,11000
SJM.HNO,SJM,UPCOM,Song Da 19 JSC,Industrials,Construction & Engineering,3800
SJS.HM,SJS,HOSE,Song Da Urban & Industrial Zone Investment and Development JSC,Real Estate,Real Estate Management & Development,58000
SKG.HM,SKG,HOSE,Superdong Fast Ferry Kien Giang JSC,Industrials,Marine,11500
SKH.HNO,SKH,UPCOM,Khanh Hoa Sanest Soft Drink JSC,,,23300
SKV.HNO,SKV,UPCOM,Khanh Hoa Salanganes Nest Soft Drink JSC,Consumer/Non-Cyclical,Food Processing,25700
SLS.HN,SLS,HNX,Son La Sugar JSC,Consumer Staples,Food Products,128500
SMA.HM,SMA,HOSE,Saigon Machinery Spare Parts JSC,Industrials,Trading Companies & Distributors,8690
SMB.HM,SMB,HOSE,Sai Gon Mien Trung Beer JSC,Consumer Staples,Beverages,42000
SMC.HM,SMC,HOSE,SMC Trading Investment JSC,Materials,Metals & Mining,37900
SMN.HN,SMN,HNX,South Books and Educational Equipment JSC,Communication Services,Media,10600
SMT.HN,SMT,HNX,Sametel Corp,Information Technology,Communications Equipment,7800
SNC.HNO,SNC,UPCOM,Nam Can Seaproducts Import Export JSC,Consumer Staples,Food & Staples Retailing,17700
SNZ.HNO,SNZ,UPCOM,Sonadezi Corp,Industrials,Construction & Engineering,28700
SON.HNO,SON,UPCOM,International Manpower Supply and Trade JSC,Industrials,Professional Services,4300
SP2.HNO,SP2,UPCOM,Supan 2 Hydropower JSC,,,10000
SPA.HNO,SPA,UPCOM,Sai Gon Packaging JSC,,,15100
SPB.HNO,SPB,UPCOM,Phu Bai Spinning Mill JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",19500
SPC.HNO,SPC,UPCOM,Saigon Plant Protection JSC,Materials,Chemicals,21000
SPD.HNO,SPD,UPCOM,Danang Seaproducts Import Export Corp,Consumer Staples,Food Products,9400
SPH.HNO,SPH,UPCOM,Hanoi Seaproducts Import Export Joint Stock Corp,Consumer Staples,Food Products,22100
SPI.HN,SPI,HNX,Spiral Galaxy JSC,Materials,Construction Materials,17100
SPM.HM,SPM,HOSE,SPM Corp,Healthcare,Pharmaceuticals,13800
SPP.HNO,SPP,UPCOM,Sai Gon Plastic Packaging JSC,Materials,Containers & Packaging,400
SPV.HNO,SPV,UPCOM,Special Aquatic Products JSC,Consumer Staples,Food Products,14600
SQC.HNO,SQC,UPCOM,Sai Gon Quy Nhon Mining Corp,Materials,Metals & Mining,82000
SRA.HN,SRA,HNX,Sara Vietnam JSC,Information Technology,IT Services,8300
SRB.HNO,SRB,UPCOM,Sara Group JSC,Consumer Discretionary,Diversified Consumer Services,3000
SRC.HM,SRC,HOSE,Saovang Rubber JSC,Consumer Discretionary,Auto Components,19400
SRF.HM,SRF,HOSE,Seaprodex Refrigeration Industry Corp,Industrials,Machinery,12500
SRT.HNO,SRT,UPCOM,Sai Gon Railway Transport JSC,Industrials,Road & Rail,4400
SSC.HN,SSC,HNX,Southern Seed Corp,Consumer Staples,Food Products,46000
SSF.HNO,SSF,UPCOM,G Saigon Education JSC,Consumer Cyclical,Footwear,2700
SSI.HM,SSI,HOSE,SSI Securities Corp,Financial,Capital Markets,53700
SSM.HN,SSM,HNX,Steel Structure Manufacture JSC,Industrials,Construction & Engineering,7000
SSN.HNO,SSN,UPCOM,Saigon Seaproducts Import Export JSC,Consumer Staples,Food Products,7200
ST8.HM,ST8,HOSE,Sieu Thanh Joint Stock Corp,Industrials,Commercial Services & Supplies,11200
STB.HM,STB,HOSE,Saigon Thuong Tin Commercial Joint Stock Bank,Financial,Regional Banks,29500
STC.HN,STC,HNX,Book and Educational Equipment JSC,Industrials,Commercial Services & Supplies,18100
STG.HM,STG,HOSE,South Logistics JSC,Industrials,Air Freight & Logistics,17900
STK.HM,STK,HOSE,Century Synthetic Fiber Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",39950
STL.HNO,STL,UPCOM,Song Da Thang Long JSC,Real Estate,Real Estate Management & Development,1300
STP.HN,STP,HNX,Song Da Industry Trade JSC,Materials,Containers & Packaging,8000
STS.HNO,STS,UPCOM,Saigon Transport Agency JSC,Industrials,Air Freight & Logistics,34500
STT.HNO,STT,UPCOM,Saigontourist Transport Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",3500
SVC.HM,SVC,HOSE,Saigon General Service Corp,Consumer Discretionary,Distributors,68600
SVD.HM,SVD,HOSE,Vu Dang Investment & Trading JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",9430
SVG.HNO,SVG,UPCOM,Industrial Gas and Welding Electrode JSC,Materials,Chemicals,8500
SVI.HM,SVI,HOSE,Bien Hoa Packaging Co,Materials,Containers & Packaging,76700
SVN.HN,SVN,HNX,Vexilla Viet Nam Group JSC,Consumer Staples,Food Products,4200
SVT.HM,SVT,HOSE,Saigon Viendong Technology JSC,Consumer Discretionary,Diversified Consumer Services,16600
SWC.HNO,SWC,UPCOM,Southern Waterborne Transport Corp,Industrials,Marine,25800
SZB.HN,SZB,HNX,Sonadezi Long Binh Share Holding Co,Real Estate,Real Estate Management & Development,35500
SZC.HM,SZC,HOSE,Sonadezi Chau Duc Shareholding Co,Industrials,Construction & Engineering,38200
SZE.HNO,SZE,UPCOM,Sonadezi Environment JSC,Transportation,Trucking,13700
SZL.HM,SZL,HOSE,Sonadezi Long Thanh Shareholding Co,Real Estate,Real Estate Management & Development,53200
TA6.HNO,TA6,UPCOM,Thanh An 665 Investment Installation and Construction JSC,Capital Goods,Construction Services,7800
TA9.HN,TA9,HNX,Thanh An 96 Installation and Construction JSC,Industrials,Construction & Engineering,11000
TAC.HM,TAC,HOSE,Tuongan Vegetable Oil JSC,Consumer Staples,Food Products,59800
TAG.HNO,TAG,UPCOM,Tran Anh Digital World JSC,Consumer Discretionary,Specialty Retail,33000
TAR.HN,TAR,HNX,Trung An Hi-Tech Farming JSC,Consumer Staples,Food Products,17900
TAW.HNO,TAW,UPCOM,Trung An Water Supply JSC,,,23800
TBC.HM,TBC,HOSE,Thacba Hydro Power JSC,Utilities,Independent Power and Renewable Electricity Producers,27200
TBD.HNO,TBD,UPCOM,Dong Anh Electrical Equipment Corporation JSC,Industrials,Electrical Equipment,60000
TBT.HNO,TBT,UPCOM,Bentre Transportation Works Construction JSC,Materials,Construction Materials,7400
TBX.HN,TBX,HNX,Thai Binh Cement JSC,Materials,Construction Materials,22300
TC6.HN,TC6,HNX,Vinacomin Coc Sau Coal JSC,Energy,Coal,5900
TCB.HM,TCB,HOSE,Vietnam Technological And Commercial Joint Stock Bank,Financial,Banks,51600
TCD.HM,TCD,HOSE,Transport and Industry Development Investment JSC,Industrials,Construction & Engineering,13500
TCH.HM,TCH,HOSE,Hoang Huy Investment Financial Services JSC,Industrials,Machinery,22050
TCL.HM,TCL,HOSE,Tan Cang Logistics and Stevedoring JSC,Industrials,Transportation Infrastructure,37800
TCM.HM,TCM,HOSE,Thanh Cong Textile Garment Investment Trading JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",91300
TCO.HM,TCO,HOSE,Duyen Hai Multi Modal Transport JSC,Industrials,Air Freight & Logistics,12000
TCR.HM,TCR,HOSE,Taicera Enterprise Co,Industrials,Building Products,4000
TCT.HM,TCT,HOSE,Tay Ninh Cable Car Tour Co,Consumer Discretionary,"Hotels, Restaurants & Leisure",28000
TCW.HNO,TCW,UPCOM,Tan Cang Warehousing JSC,Transportation,Misc. Transportation,32000
TDB.HNO,TDB,UPCOM,Dinh Binh Hydro Power JSC,Utilities,Independent Power and Renewable Electricity Producers,35800
TDC.HM,TDC,HOSE,Binh Duong Trade and Development JSC,Real Estate,Real Estate Management & Development,19450
TDG.HM,TDG,HOSE,Thai Duong Petrol JSC,Energy,"Oil, Gas & Consumable Fuels",4250
TDH.HM,TDH,HOSE,Thu Duc Housing Development Corp,Real Estate,Real Estate Management & Development,7740
TDM.HM,TDM,HOSE,Thu Dau Mot Water JSC,Utilities,Water Utilities,28200
TDN.HN,TDN,HNX,Vinacomin Deo Nai Coal JSC,Energy,"Oil, Gas & Consumable Fuels",9100
TDP.HM,TDP,HOSE,Thuan Duc JSC,Materials,Containers & Packaging,27300
TDS.HNO,TDS,UPCOM,Vnsteel - Thu Duc Steel JSC,Materials,Metals & Mining,16500
TDT.HN,TDT,HNX,TDT Investment and Development JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",12000
TDW.HM,TDW,HOSE,Thu Duc Water Supply JSC,Utilities,Water Utilities,33850
TEG.HM,TEG,HOSE,Truong Thanh Energy and Real Estate JSC,Real Estate,Real Estate Management & Development,15900
TEL.HNO,TEL,UPCOM,Telecommunication Project Construction Development JSC,Communication Services,Diversified Telecommunication Services,14000
TET.HN,TET,HNX,Northern Textiles And Garments JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",26700
TFC.HN,TFC,HNX,Trang Corp,Consumer Staples,Food Products,8600
TGG.HM,TGG,HOSE,Truong Giang Investment and Construction JSC,Industrials,Construction & Engineering,7900
TGP.HNO,TGP,UPCOM,Truong Phu JSC,Industrials,Electrical Equipment,5200
TH1.HNO,TH1,UPCOM,Viet Nam National General Export Import JSC No1,Consumer Discretionary,Distributors,4600
THB.HN,THB,HNX,Thanh Hoa Beer JSC,Consumer Staples,Beverages,9000
THD.HN,THD,HNX,Thaiholdings JSC,Industrials,Construction & Engineering,200100
THG.HM,THG,HOSE,Tien Giang Investment and Construction JSC,Materials,Construction Materials,81900
THI.HN,THI,HNX,Electrical Equipment JSC,Technology,Electronic Instr. & Controls,28500
THS.HN,THS,HNX,Song Da Thanh Hoa JSC,Consumer Discretionary,Distributors,19300
THT.HN,THT,HNX,Vinacomin HaTu Coal JSC,Energy,"Oil, Gas & Consumable Fuels",10300
THW.HNO,THW,UPCOM,Tan Hoa Water Supply JSC,,,17200
TIE.HNO,TIE,UPCOM,Telecommunications Industry Electronics JSC,Information Technology,"Electronic Equipment, Instruments & Components",6840
TIG.HN,TIG,HNX,Thang Long Investment Group JSC,Real Estate,Real Estate Management & Development,14500
TIP.HM,TIP,HOSE,Tin Nghia Industrial Park Development JSC,Industrials,Construction & Engineering,44900
TIS.HNO,TIS,UPCOM,Thai Nguyen Iron And Steel Joint Stock Corp,Materials,Metals & Mining,11400
TIX.HM,TIX,HOSE,Tan Binh Import Export Joint Stock Corp,Real Estate,Real Estate Management & Development,33500
TJC.HN,TJC,HNX,Transportation and Trading Services JSC,Industrials,Marine,10300
TKC.HN,TKC,HNX,Tan Ky Construction Real Estate Trading Corp,Industrials,Construction & Engineering,11600
TKU.HN,TKU,HNX,Tung Kuang Industrial JSC,Materials,Metals & Mining,19500
TL4.HNO,TL4,UPCOM,Hydraulics Construction Corp No.4 JSC,Industrials,Construction & Engineering,9300
TLD.HM,TLD,HOSE,Thang Long Urban Development and Construction Investment JSC,Materials,Paper & Forest Products,6200
TLG.HM,TLG,HOSE,Thien Long Group Corp,Industrials,Commercial Services & Supplies,38100
TLH.HM,TLH,HOSE,Tien Len Steel Corporation JSC,Materials,Metals & Mining,17100
TLP.HNO,TLP,UPCOM,Thanh Le Corp,Energy,Oil & Gas Operations,10500
TLT.HNO,TLT,UPCOM,Viglacera Thanglong JSC,Industrials,Building Products,14700
TMB.HN,TMB,HNX,Vinacomin Northern Coal Trading JSC,Industrials,Trading Companies & Distributors,14500
TMC.HN,TMC,HNX,Thu Duc Trading and Import Export JSC,Industrials,Trading Companies & Distributors,11000
TMG.HNO,TMG,UPCOM,Vimico Thai Nguyen Non Ferrous Metal JSC,Materials,Metals & Mining,39000
TMP.HM,TMP,HOSE,Thac Mo Hydropower JSC,Utilities,Independent Power and Renewable Electricity Producers,40900
TMS.HM,TMS,HOSE,Transimex Corp,Industrials,Air Freight & Logistics,52500
TMT.HM,TMT,HOSE,Tmt Motors Corp,Consumer Discretionary,Automobiles,8980
TMW.HNO,TMW,UPCOM,Tan Mai General Wood JSC,Materials,Paper & Forest Products,15300
TMX.HN,TMX,HNX,Vicem Cement Trading JSC,Materials,Construction Materials,11100
TN1.HM,TN1,HOSE,TNS Holdings JSC,Real Estate,Real Estate Management & Development,55400
TNA.HM,TNA,HOSE,Thien Nam Trading Import Export JSC,Industrials,Trading Companies & Distributors,12350
TNB.HNO,TNB,UPCOM,VNSTEEL-Nha Be Steel JSC,Materials,Metals & Mining,20200
TNC.HM,TNC,HOSE,Thong Nhat Rubber JSC,Consumer Discretionary,Auto Components,30000
TNG.HN,TNG,HNX,TNG Investment and Trading JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",23100
TNH.HM,TNH,HOSE,Thai Nguyen International Hospital JSC,Healthcare,Health Care Providers & Services,28350
TNI.HM,TNI,HOSE,Thanh Nam Group JSC,Industrials,Trading Companies & Distributors,3920
TNM.HNO,TNM,UPCOM,Transportation Import Export And Construction JSC,Industrials,Construction & Engineering,2500
TNP.HNO,TNP,UPCOM,Thi Nai Port JSC,Industrials,Transportation Infrastructure,10000
TNS.HNO,TNS,UPCOM,Thongnhat Flat Steel JSC,,,5800
TNT.HM,TNT,HOSE,TNT Group JSC,Materials,Metals & Mining,9100
TNW.HNO,TNW,UPCOM,Thai Nguyen Water JSC,,,12400
TOP.HNO,TOP,UPCOM,Top One Allot JSC,Consumer Discretionary,Distributors,1400
TOT.HNO,TOT,UPCOM,Transimex Transportation JSC,,,8500
TPB.HM,TPB,HOSE,Tien Phong Commercial Joint Stock Bank,Financial,Banks,35900
TPC.HM,TPC,HOSE,Tan Dai Hung Plastic JSC,Materials,Containers & Packaging,9510
TPH.HN,TPH,HNX,Hanoi Textbook Printing JSC,Industrials,Commercial Services & Supplies,11200
TPP.HN,TPP,HNX,Tan Phu Viet Nam JSC,Materials,Containers & Packaging,11500
TPS.HNO,TPS,UPCOM,Sai Gon Transportation Parking JSC,Transportation,Misc. Transportation,30500
TQN.HNO,TQN,UPCOM,Quang Ninh Pine JSC,,,32600
TRA.HM,TRA,HOSE,Traphaco JSC,Healthcare,Pharmaceuticals,73100
TRC.HM,TRC,HOSE,Tay Ninh Rubber JSC,Materials,Chemicals,39250
TRS.HNO,TRS,UPCOM,Tracimexco Supply Chains and Agency Services JSC,Industrials,Air Freight & Logistics,50000
TRT.HNO,TRT,UPCOM,Redstarcera JSC,Industrials,Building Products,10000
TS4.HM,TS4,HOSE,Seafood JSC No 4,Consumer Staples,Food Products,3630
TSB.HN,TSB,HNX,Tiasang Battery JSC,Industrials,Electrical Equipment,9000
TSC.HM,TSC,HOSE,Techno-Agricultural Supplying JSC,Industrials,Trading Companies & Distributors,11600
TSJ.HNO,TSJ,UPCOM,Ha Noi Tourist Service JSC,Consumer Discretionary,"Hotels, Restaurants & Leisure",24000
TST.HN,TST,HNX,Telecommunication Technical Service JSC,Information Technology,Communications Equipment,9400
TTA.HM,TTA,HOSE,Truong Thanh Development and Construction Investment JSC,Utilities,Electric Utilities,14950
TTB.HM,TTB,HOSE,Tien Bo Group JSC,Materials,Construction Materials,6350
TTC.HN,TTC,HNX,Thanh Thanh JSC,Industrials,Building Products,13900
TTD.HNO,TTD,UPCOM,Tam Duc Cardiology Hospital JSC,Healthcare,Healthcare Facilities,50000
TTE.HM,TTE,HOSE,TRUONG THINH ENERGY INVESTMENT JSC,Utilities,Electric Utilities,8730
TTF.HM,TTF,HOSE,Truong Thanh Furniture Corp,Consumer Discretionary,Household Durables,7720
TTG.HNO,TTG,UPCOM,Thanh Tri Garment JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",5300
TTH.HN,TTH,HNX,Tien Thanh Service And Trading JSC,Industrials,Trading Companies & Distributors,3400
TTL.HN,TTL,HNX,Thang Long Joint Stock Corp,Industrials,Construction & Engineering,7600
TTN.HNO,TTN,UPCOM,Viet Nam Technology & Telecommunication JSC,Services,Communications Services,12400
TTP.HNO,TTP,UPCOM,Tan Tien Plastic Packaging JSC,Materials,Containers & Packaging,53000
TTS.HNO,TTS,UPCOM,Thai Trung Rooling JSC,Materials,Metals & Mining,11900
TTT.HN,TTT,HNX,Tay Ninh Tourist - Trading JSC,Consumer Discretionary,"Hotels, Restaurants & Leisure",50900
TTZ.HN,TTZ,HNX,Tien Trung Investment Construction and Technology JSC,Materials,Construction Materials,3100
TUG.HNO,TUG,UPCOM,Haiphong Port Tugboat and Transport JSC,Energy,"Oil, Gas & Consumable Fuels",16500
TV1.HNO,TV1,UPCOM,Power Engineering Consulting JSC 1,Industrials,Construction & Engineering,8000
TV2.HM,TV2,HOSE,Power Engineering Consulting JSC 2,Industrials,Construction & Engineering,57500
TV3.HN,TV3,HNX,Power Engineering Consulting JSC 3,Industrials,Construction & Engineering,21300
TV4.HN,TV4,HNX,Power Engineering Consulting JSC 4,Capital Goods,Construction Services,14800
TVA.HNO,TVA,UPCOM,Viglacera Thanh Tri Sanitary JSC,Industrials,Building Products,15100
TVB.HN,TVB,HNX,Tri Viet Securities JSC,Financial,Capital Markets,15400
TVC.HN,TVC,HNX,Tri Viet Asset Management Corporation JSC,Industrials,Professional Services,16300
TVD.HN,TVD,HNX,Vinacomin Vang Danh Coal JSC,Energy,"Oil, Gas & Consumable Fuels",8600
TVM.HNO,TVM,UPCOM,Vinacomin Industry Investment Consulting JSC,Energy,Coal,8300
TVN.HNO,TVN,UPCOM,Viet Nam Steel Corp,Materials,Metals & Mining,15200
TVP.HNO,TVP,UPCOM,TV Pharm Pharmaceutical JSC,Healthcare,Pharmaceuticals,34000
TVS.HM,TVS,HOSE,Thien Viet Securities JSC,Financial,Capital Markets,24600
TVT.HM,TVT,HOSE,Viet Thang Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",24900
TVU.HNO,TVU,UPCOM,Tra Vinh Urban Project JSC,,,12800
TW3.HNO,TW3,UPCOM,Central Pharmaceutical JSC N.3,Healthcare,Pharmaceuticals,11500
TXM.HN,TXM,HNX,VICEM Gypsum and Cement JSC,Industrials,Trading Companies & Distributors,5400
TYA.HM,TYA,HOSE,Taya Vietnam Electric Wire and Cable JSC,Industrials,Electrical Equipment,15350
UDC.HM,UDC,HOSE,Urban Development and Construction Corp,Industrials,Construction & Engineering,6290
UDJ.HNO,UDJ,UPCOM,Becamex Urban Development JSC,Capital Goods,Construction - Raw Materials,11600
UIC.HM,UIC,HOSE,Idico Urban and House Development Investment Joint-Stock Co,Utilities,Electric Utilities,47200
UNI.HN,UNI,HNX,Vien Lien JSC,Information Technology,Communications Equipment,14500
UPC.HNO,UPC,UPCOM,Vung Tau Urban and Parks Development JSC,,,19200
UPH.HNO,UPH,UPCOM,N0 25 Central Pharmaceutical JSC,Healthcare,Pharmaceuticals,14900
USC.HNO,USC,UPCOM,Union of Survey and Construction JSC,,,7000
V11.HNO,V11,UPCOM,Viet Nam Construction JSC No11,Industrials,Construction & Engineering,800
V12.HN,V12,HNX,Viet Nam Construction JSC No 12,Industrials,Construction & Engineering,14000
V15.HNO,V15,UPCOM,Vinaconex No15 JSC,Industrials,Construction & Engineering,600
V21.HN,V21,HNX,Vinaconex 21 JSC,Industrials,Construction & Engineering,5400
VAF.HM,VAF,HOSE,Van Dien Fused Magnesium Phosphate Fertilizer JSC,Materials,Chemicals,10350
VAT.HN,VAT,HNX,Van Xuan VT JSC,Industrials,Construction & Engineering,2400
VAV.HNO,VAV,UPCOM,Viwaco JSC,Utilities,Water Utilities,54000
VBC.HN,VBC,HNX,Vinh Plastic and Bags JSC,Materials,Containers & Packaging,19500
VBH.HNO,VBH,UPCOM,Viettronics Binh Hoa JSC,Information Technology,"Electronic Equipment, Instruments & Components",10600
VC1.HN,VC1,HNX,Construction JSC N0 1,Industrials,Construction & Engineering,12100
VC2.HN,VC2,HNX,Vina2 Investment and Construction JSC,Industrials,Construction & Engineering,18500
VC3.HN,VC3,HNX,Nam Mekong Group JSC,Industrials,Construction & Engineering,20300
VC5.HNO,VC5,UPCOM,Construction No5 JSC,Industrials,Construction & Engineering,1500
VC6.HN,VC6,HNX,Visicons Construction and Investment JSC,Industrials,Construction & Engineering,8100
VC7.HN,VC7,HNX,BGI Group JSC,Industrials,Construction & Engineering,14800
VC9.HN,VC9,HNX,Construction JSC No 9,Industrials,Construction & Engineering,7000
VCA.HM,VCA,HOSE,Vnsteel Vicasa JSC,Materials,Metals & Mining,13550
VCB.HM,VCB,HOSE,Joint Stock Commercial Bank for Foreign Trade of Viet Nam,Financial,Banks,111440
VCC.HN,VCC,HNX,Vinaconex 25 JSC,Capital Goods,Construction Services,14200
VCF.HM,VCF,HOSE,Vinacafe Bien Hoa JSC,Consumer Staples,Food Products,240100
VCG.HM,VCG,HOSE,Viet Nam Construction and Import Export Joint Stock Corp,Industrials,Construction & Engineering,49400
VCI.HM,VCI,HOSE,Viet Capital Securities JSC,Financial,Capital Markets,50000
VCM.HN,VCM,HNX,Vinaconex Trading And Manpower JSC,Industrials,Professional Services,16800
VCP.HNO,VCP,UPCOM,VCP Power & Construction JSC,Industrials,Professional Services,37000
VCR.HNO,VCR,UPCOM,Vinaconex Investment And Tourism Development JSC,Real Estate,Real Estate Management & Development,8200
