RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
NQN.HNO,NQN,UPCOM,Quangninh Clean Water JSC,Utilities,Water Utilities,13800
NQT.HNO,NQT,UPCOM,Quang Tri Clean Water JSC,,,8650
NRC.HN,NRC,HNX,Danh Khoi Group JSC,Real Estate,Real Estate Management & Development,20200
NS2.HNO,NS2,UPCOM,Hanoi Water Supply Number 2 JSC,Utilities,Water Utilities,8600
NS3.HNO,NS3,UPCOM,Ha Noi Water Manufacturing JSC No 3,Industrials,Commercial Services & Supplies,16500
NSC.HN,NSC,HNX,Vietnam National Seed Group JSC,Consumer Staples,Food Products,83000
NSG.HNO,NSG,UPCOM,Sai Gon Plastic JSC,,,8800
NSH.HN,NSH,HNX,Song Hong Aluminum JSC,Materials,Metals & Mining,8100
NST.HN,NST,HNX,Ngan Son JSC,Consumer Staples,Tobacco,7900
NT2.HM,NT2,HOSE,PetroVietnam Power Nhon Trach 2 JSC,Utilities,Electric Utilities,20700
NTB.HNO,NTB,UPCOM,Transport Engineering Construction and Business Investment JSC 584,Real Estate,Real Estate Management & Development,700
NTC.HNO,NTC,UPCOM,Nam Tan Uyen Joint Stock Corp,Real Estate,Real Estate Management & Development,213900
NTH.HN,NTH,HNX,Nuoc Trong Hydro Power JSC,Utilities,Independent Power and Renewable Electricity Producers,31000
NTL.HM,NTL,HOSE,Tu Liem Urban Development JSC,Real Estate,Real Estate Management & Development,26800
NTP.HN,NTP,HNX,Tien Phong Plastic JSC,Industrials,Building Products,52500
NTW.HNO,NTW,UPCOM,Nhon Trach Water Supply JSC,Utilities,Water Utilities,20400
NUE.HNO,NUE,UPCOM,Nha Trang Urban Environmental JSC,Industrials,Commercial Services & Supplies,8800
NVB.HN,NVB,HNX,National Citizen Commercial Joint Stock Bank,Financial,Banks,19000
NVL.HM,NVL,HOSE,No Va Land Investment Group Corp,Real Estate,Real Estate Management & Development,120000
NVT.HM,NVT,HOSE,Ninh Van Bay Travel Real Estate JSC,Real Estate,Real Estate Management & Development,9520
OCB.HM,OCB,HOSE,Orient Commercial Joint Stock Bank,Financial,Banks,30100
OCH.HN,OCH,HNX,OCH Hospitality & Service JSC,Consumer Discretionary,"Hotels, Restaurants & Leisure",8700
OGC.HM,OGC,HOSE,Ocean Group JSC,Financial,Diversified Financial Services,6230
OIL.HNO,OIL,UPCOM,Petrovietnam Oil Corp,Energy,"Oil, Gas & Consumable Fuels",15400
ONE.HN,ONE,HNX,One Communication Technology Corp,Information Technology,IT Services,6400
ONW.HNO,ONW,UPCOM,One World Services JSC,,,7500
OPC.HM,OPC,HOSE,OPC Pharmaceutical JSC,Healthcare,Pharmaceuticals,57400
ORS.HNO,ORS,UPCOM,Tien Phong Securities Corporation,Financial,Capital Markets,6300
PAC.HM,PAC,HOSE,Dry Cell and Storage Battery JSC,Consumer Discretionary,Auto Components,37000
PAN.HN,PAN,HNX,PAN Group JSC,Consumer Staples,Food Products,27900
PBP.HN,PBP,HNX,Petrovietnam Packaging JSC,Materials,Containers & Packaging,10100
PC1.HM,PC1,HOSE,Power Construction JSC No 1,Industrials,Construction & Engineering,26600
PCC.HNO,PCC,UPCOM,Petrolimex Construction 1 JSC Group,Capital Goods,Construction Services,13500
PCE.HN,PCE,HNX,Central Petrovietnam Fertilizer and Chemicals JSC,Materials,Chemicals,13500
PCF.HNO,PCF,UPCOM,Petec Coffee JSC,,,6400
PCG.HN,PCG,HNX,Petrovietnam Gas City Investment and Development JSC,Energy,"Oil, Gas & Consumable Fuels",10500
PCN.HNO,PCN,UPCOM,DMC Northern Petrolium Chemicals JSC,Industrials,Trading Companies & Distributors,4500
PCT.HN,PCT,HNX,Viet Nam Gas and Chemicals Transportation Corp,Energy,"Oil, Gas & Consumable Fuels",6600
PDB.HN,PDB,HNX,Din Capital Investment Group JSC,Materials,Construction Materials,10000
PDC.HN,PDC,HNX,Phuong Dong Petroleum Tourism JSC,Consumer Discretionary,"Hotels, Restaurants & Leisure",5000
PDN.HM,PDN,HOSE,Dong Nai Port JSC,Industrials,Transportation Infrastructure,88000
PDR.HM,PDR,HOSE,Phat Dat Real Estate Development Corp,Real Estate,Real Estate Management & Development,95000
PDV.HNO,PDV,UPCOM,Phuong Dong Viet Transportation Oil JSC,Industrials,Air Freight & Logistics,6400
PEC.HNO,PEC,UPCOM,Power Engineering JSC,Industrials,Professional Services,5100
PEN.HN,PEN,HNX,Petrolimex Installation No III JSC,Energy,Energy Equipment & Services,8000
PEQ.HNO,PEQ,UPCOM,Petrolimex Equipment JSC,,,41000
PET.HM,PET,HOSE,PetroVietnam General Services Corp,Industrials,Industrial Conglomerates,21400
PFL.HNO,PFL,UPCOM,Petroleum Dong Do JSC,Real Estate,Real Estate Management & Development,3700
PGC.HM,PGC,HOSE,Petrolimex Gas Corp JSC,Energy,"Oil, Gas & Consumable Fuels",17250
